Date,Open,High,Low,Close,Volume,Adjustment
12-31-13,184.07,184.68,183.93,184.69,64040900,
12-30-13,183.86,184.02,183.58,183.82,41482100,
12-27-13,184.1,184.18,183.66,183.845,46427700,
12-26-13,183.33,183.96,183.32,183.855,47908700,
12-24-13,182.54,183.01,182.53,182.93,30887200,
12-23-13,182.27,182.64,182.15,182.53,50797200,
12-20-13,180.67,181.99,180.66,181.56,113135800,Dividend: 0.98 USD  
12-19-13,181.19,181.7,180.71,181.49,92767000,
12-18-13,178.92,181.73,177.32,181.7,188064300,
12-17-13,179.36,179.41,178.25,178.65,66442300,
12-16-13,178.94,179.81,178.9,179.215,71908900,
12-13-13,178.5,178.66,177.77,178.11,79885300,
12-12-13,178.62,178.86,177.76,178.13,94517200,
12-11-13,180.81,180.85,178.5,178.72,104556200,
12-10-13,180.98,181.36,180.64,180.75,59766600,
12-09-13,181.47,181.67,181.16,181.4,55630300,
12-06-13,180.66,181.11,180.15,180.94,85417700,
12-05-13,179.41,179.74,178.77,178.94,80549500,
12-04-13,179.1,180.48,178.35,179.73,102878500,
12-03-13,179.94,180.39,179.17,179.75,79542300,
12-02-13,181.09,181.43,180.25,180.53,69050000,
11-29-13,181.32,181.75,180.8,181,39424800,
11-27-13,180.88,181.24,180.65,181.12,46016900,
11-26-13,180.73,181.22,180.41,180.68,63810300,
11-25-13,181.13,181.17,180.37,180.63,59502100,
11-22-13,179.97,180.83,179.77,180.81,57911200,
11-21-13,178.97,180.05,178.86,179.91,66998700,
11-20-13,179.41,179.93,177.98,178.47,104374900,
11-19-13,179.32,179.87,178.72,179.03,78282200,
11-18-13,180.35,180.5,179.02,179.42,77280000,
11-15-13,179.57,180.07,179.33,180.05,65529500,
11-14-13,178.54,179.42,178.25,179.27,81009000,
11-13-13,176.09,178.41,176.09,178.38,76682100,
11-12-13,176.94,177.36,176.37,176.96,69934000,
11-11-13,177.13,177.53,176.91,177.32,49981500,
11-08-13,174.86,177.25,174.85,177.29,106166600,
11-07-13,177.5,177.64,174.76,174.93,123604600,
11-06-13,177.03,177.5,176.54,177.17,65185300,
11-05-13,176.14,176.75,175.57,176.27,67252000,
11-04-13,176.69,176.9,176.15,176.83,53170700,
11-01-13,176.03,176.61,175.22,176.21,105944000,
10-31-13,176.15,176.89,175.53,175.79,100763100,
10-30-13,177.38,177.51,175.66,176.29,111365000,
10-29-13,176.63,177.23,176.38,177.17,63403800,
10-28-13,175.89,176.47,175.7,176.23,63060200,
10-25-13,175.51,175.96,175.17,175.95,73130800,
10-24-13,174.92,175.37,174.51,175.15,59258100,
10-23-13,174.81,174.89,173.96,174.57,89595100,
10-22-13,174.91,175.93,174.66,175.41,104376500,
10-21-13,174.43,174.75,174.01,174.4,64769700,
10-18-13,173.86,174.51,173.51,174.39,110375500,
10-17-13,171.36,173.32,171.34,173.22,102764700,
10-16-13,170.72,172.16,170.64,172.07,122442000,
10-15-13,170.52,171.15,169.47,169.7,128960400,
10-14-13,169.21,171.08,169.08,170.94,90656400,
10-11-13,168.9,170.32,168.77,170.26,86009700,
10-10-13,167.29,169.26,167.23,169.17,147623700,
10-09-13,165.81,166.2,164.53,165.6,141505400,
10-08-13,167.4,167.62,165.36,165.48,145663600,
10-07-13,167.41,168.45,167.25,167.43,76058200,
10-04-13,167.75,169.06,167.53,168.89,80464700,
10-03-13,168.79,168.94,166.84,167.62,143831200,
10-02-13,168.35,169.21,167.83,169.18,79908800,
10-01-13,168.14,169.5,168,169.34,94713700,
09-30-13,167.48,168.54,167.15,168.1,120381600,
09-27-13,168.83,169.14,168.47,168.95,77216200,
09-26-13,169.32,170.17,169.05,169.69,64981700,
09-25-13,169.63,169.98,168.89,169.11,95235500,
09-24-13,169.91,170.53,169.21,169.57,79406700,
09-23-13,170.5,170.65,169.39,169.94,80943100,
09-20-13,172.33,172.33,170.58,170.62,105480200,Dividend: 0.84 USD  
09-19-13,173.52,173.6,172.59,172.81,101465000,
09-18-13,171.01,173.52,170.58,173.14,148677100,
09-17-13,170.46,171.11,170.46,171.07,57982000,
09-16-13,171.16,171.24,170.04,170.38,83152000,
09-13-13,169.14,169.46,168.74,169.33,57965300,
09-12-13,169.35,169.56,168.72,169.04,68343500,
09-11-13,168.64,169.4,168.35,169.37,72268200,
09-10-13,168.64,168.9,168.26,168.84,84610000,
09-09-13,166.44,167.73,166.44,167.67,70507800,
09-06-13,166.51,166.98,164.48,166.04,128865900,
09-05-13,165.85,166.4,165.73,165.86,53167400,
09-04-13,164.43,166.03,164.14,165.82,81376900,
09-03-13,165.26,165.58,163.7,164.38,106960100,
08-30-13,164.51,164.53,163.17,163.65,99725200,
08-29-13,163.55,165.04,163.4,164.22,81572100,
08-28-13,163.26,164.49,163.05,163.91,79739800,
08-27-13,164.36,164.98,163.21,163.29,122632000,
08-26-13,166.79,167.3,165.89,165.97,65849600,
08-23-13,166.55,166.83,165.77,166.67,65068800,
08-22-13,164.9,166.3,164.89,166.06,75405300,
08-21-13,165.14,166.03,164.19,164.56,126537300,
08-20-13,165.04,166.2,164.86,165.59,73307000,
08-19-13,165.64,166.21,164.76,164.76,74639600,
08-16-13,166.06,166.63,165.5,165.87,97110500,
08-15-13,167.42,167.43,166.09,166.27,120687400,
08-14-13,169.53,169.8,168.7,168.74,65331300,
08-13-13,169.41,169.9,168.41,169.69,71623800,
08-12-13,168.46,169.31,168.38,169.1,53777900,
08-09-13,169.58,170.1,168.72,169.3,77381000,
08-08-13,169.98,170.18,168.93,169.81,70170200,
08-07-13,169.19,169.43,168.55,169.18,69790600,
08-06-13,170.37,170.52,169.35,169.73,67577700,
08-05-13,170.57,170.96,170.35,170.8,41469600,
08-02-13,170.28,170.96,170.05,170.95,66591200,
08-01-13,169.99,170.81,169.9,170.65,89541200,
07-31-13,168.96,169.85,168.49,168.66,114606100,
07-30-13,169.1,169.28,168.19,168.6,73255600,
07-29-13,168.68,169.06,168.11,168.53,66603600,
07-26-13,168.22,169.16,167.52,169.11,83892700,
07-25-13,168.22,169.08,167.94,168.93,81169300,
07-24-13,169.79,169.86,168.18,168.55,97745300,
07-23-13,169.8,169.83,169.05,169.14,66071400,
07-22-13,169.41,169.74,169.01,169.5,62886100,
07-19-13,168.52,169.19,168.31,169.23,80046700,
07-18-13,168.31,169.27,168.2,168.88,77069000,
